,state,city,race,religion,sexual orientation,disability,gender,gender identity,population,percent per pop
2,Alaska,Anchorage,1.0,0.0,0.0,0.0,0.0,0.0,291992.0,0.0003424751363051042
3,Alaska,Fairbanks,2.0,0.0,0.0,1.0,0.0,0.0,31635.0,0.00948316737790422
4,Alaska,Juneau,0.0,2.0,0.0,0.0,0.0,0.0,31922.0,0.00626527159952384
5,Alaska,Kotzebue,1.0,0.0,0.0,0.0,0.0,0.0,3273.0,0.030553009471432937
8,Arizona,Avondale,1.0,0.0,0.0,0.0,0.0,0.0,85204.0,0.0011736538190695272
9,Arizona,Coolidge,2.0,0.0,0.0,0.0,0.0,0.0,12815.0,0.015606710885680844
10,Arizona,Flagstaff,1.0,0.0,1.0,0.0,0.0,0.0,72852.0,0.0027452918245209467
11,Arizona,Gilbert,1.0,0.0,0.0,0.0,0.0,0.0,247463.0,0.000404100815071344
12,Arizona,Glendale,7.0,0.0,1.0,0.0,0.0,0.0,249799.0,0.0032025748701956375
13,Arizona,Maricopa,1.0,0.0,0.0,0.0,0.0,0.0,48660.0,0.002055076037813399
14,Arizona,Mesa,2.0,0.0,1.0,0.0,0.0,0.0,504873.0,0.000594208840639131
15,Arizona,Page,2.0,0.0,1.0,0.0,0.0,0.0,7576.0,0.03959873284054911
16,Arizona,Peoria,1.0,0.0,0.0,0.0,0.0,0.0,170177.0,0.0005876234743825546
17,Arizona,Phoenix,59.0,24.0,25.0,1.0,1.0,2.0,1653080.0,0.006775231688726499
18,Arizona,Prescott,1.0,0.0,0.0,0.0,0.0,0.0,43172.0,0.002316316130825535
19,Arizona,Scottsdale,2.0,2.0,1.0,0.0,0.0,0.0,254961.0,0.0019610842442569646
20,Arizona,St. Johns,0.0,1.0,0.0,0.0,0.0,0.0,3510.0,0.028490028490028487
21,Arizona,Surprise,1.0,2.0,0.0,0.0,0.0,0.0,136611.0,0.002196016426202868
22,Arizona,Tempe,0.0,1.0,0.0,0.0,0.0,0.0,188543.0,0.0005303829895567589
23,Arizona,Tucson,7.0,2.0,6.0,1.0,1.0,1.0,537392.0,0.0033495102271712267
24,Arizona,Yuma,5.0,1.0,1.0,0.0,0.0,0.0,96121.0,0.007282487697797568
26,Arizona,University of Arizona,1.0,1.0,0.0,0.0,0.0,0.0,47648.0,0.0041974479516454
31,Arkansas,Benton,1.0,0.0,0.0,0.0,0.0,0.0,36556.0,0.002735529051318525
32,Arkansas,Fort Smith,2.0,0.0,1.0,0.0,0.0,0.0,88290.0,0.0033978933061501867
33,Arkansas,Hot Springs,1.0,0.0,0.0,0.0,0.0,0.0,37006.0,0.00270226449764903
34,Arkansas,Newport,1.0,0.0,0.0,0.0,0.0,0.0,7654.0,0.013065064018813691
35,Arkansas,Rogers,2.0,0.0,0.0,0.0,0.0,0.0,68026.0,0.0029400523329315264
36,Arkansas,Sherwood,1.0,1.0,0.0,0.0,0.0,0.0,31284.0,0.006393044367727913
37,Arkansas,Springdale,0.0,0.0,0.0,1.0,0.0,0.0,73496.0,0.0013606182649395886
44,California,Alameda,3.0,3.0,1.0,0.0,0.0,0.0,79951.0,0.008755362659629022
45,California,Albany,2.0,1.0,1.0,0.0,0.0,0.0,20379.0,0.019628048481279747
46,California,American Canyon,0.0,1.0,0.0,0.0,0.0,0.0,20339.0,0.004916662569447858
47,California,Anaheim,0.0,0.0,2.0,0.0,0.0,0.0,354743.0,0.0005637884327527252
48,California,Antioch,1.0,1.0,0.0,0.0,0.0,0.0,112956.0,0.0017706009419597012
49,California,Apple Valley,1.0,0.0,0.0,0.0,0.0,0.0,73631.0,0.0013581236164115658
50,California,Arvin,1.0,0.0,0.0,0.0,0.0,0.0,21560.0,0.00463821892393321
51,California,Azusa,3.0,0.0,0.0,0.0,0.0,0.0,50393.0,0.005953207786795785
52,California,Bakersfield,3.0,6.0,1.0,0.0,0.0,0.0,385609.0,0.002593300467572074
53,California,Baldwin Park,1.0,0.0,0.0,0.0,0.0,0.0,76541.0,0.0013064893325146001
54,California,Beaumont,1.0,0.0,0.0,0.0,0.0,0.0,48559.0,0.0020593504808583372
55,California,Bell,1.0,0.0,1.0,0.0,0.0,0.0,35857.0,0.005577711464985916
56,California,Bellflower,1.0,0.0,0.0,0.0,0.0,0.0,77937.0,0.00128308762205371
57,California,Bell Gardens,1.0,0.0,0.0,0.0,0.0,0.0,42845.0,0.002333994631812347
58,California,Berkeley,8.0,5.0,4.0,0.0,0.0,0.0,123735.0,0.013739039075443486
59,California,Beverly Hills,2.0,3.0,0.0,0.0,0.0,0.0,34557.0,0.014468848569030877
60,California,Brea,0.0,1.0,0.0,0.0,0.0,0.0,43279.0,0.002310589431363941
61,California,Brentwood,3.0,0.0,0.0,0.0,0.0,0.0,64118.0,0.004678873327302786
62,California,Buena Park,1.0,0.0,1.0,0.0,0.0,0.0,83336.0,0.0023999232024575212
63,California,Burbank,4.0,4.0,2.0,0.0,0.0,0.0,105041.0,0.009520092154492055
64,California,Calabasas,0.0,2.0,0.0,0.0,0.0,0.0,24309.0,0.00822740548767946
65,California,Calimesa,1.0,0.0,0.0,0.0,0.0,0.0,8953.0,0.011169440411035406
66,California,Camarillo,2.0,0.0,0.0,0.0,0.0,0.0,68218.0,0.002931777536720514
67,California,Capitola,0.0,0.0,1.0,0.0,0.0,0.0,10218.0,0.009786651008025053
68,California,Carlsbad,4.0,2.0,0.0,0.0,0.0,0.0,116739.0,0.00513967054711793
69,California,Carson,1.0,0.0,0.0,0.0,0.0,0.0,92895.0,0.001076484202594327
70,California,Central Marin,1.0,0.0,0.0,0.0,0.0,0.0,35033.0,0.0028544515171409816
71,California,Chino Hills,1.0,0.0,0.0,0.0,0.0,0.0,81177.0,0.0012318760239969449
72,California,Chula Vista,1.0,1.0,0.0,0.0,0.0,0.0,274370.0,0.00072894266865911
73,California,Citrus Heights,3.0,0.0,0.0,0.0,0.0,0.0,88603.0,0.003385889868288884
74,California,Claremont,1.0,0.0,0.0,0.0,0.0,0.0,36178.0,0.002764110785560285
75,California,Clayton,1.0,0.0,0.0,0.0,0.0,0.0,12330.0,0.008110300081103
76,California,Clearlake,2.0,0.0,0.0,0.0,0.0,0.0,15037.0,0.013300525370752145
77,California,Clovis,0.0,0.0,0.0,0.0,0.0,1.0,111759.0,0.0008947825231077587
78,California,Commerce,0.0,0.0,1.0,0.0,0.0,0.0,12961.0,0.007715454054471106
79,California,Compton,3.0,0.0,0.0,0.0,0.0,0.0,97775.0,0.0030682689849143444
80,California,Corning,0.0,0.0,1.0,0.0,0.0,0.0,7580.0,0.013192612137203165
81,California,Corona,1.0,1.0,0.0,0.0,0.0,0.0,170041.0,0.0011761869196252669
82,California,Cupertino,0.0,1.0,1.0,0.0,0.0,0.0,61078.0,0.0032745014571531486
83,California,Cypress,2.0,0.0,0.0,0.0,0.0,0.0,49223.0,0.004063141214472909
84,California,Daly City,1.0,0.0,0.0,0.0,0.0,0.0,107928.0,0.0009265436216737084
85,California,Davis,8.0,4.0,1.0,1.0,0.0,0.0,69486.0,0.020147943470627178
86,California,Downey,0.0,0.0,1.0,0.0,0.0,0.0,113277.0,0.0008827917406004749
87,California,Eastvale,0.0,1.0,0.0,0.0,0.0,0.0,64642.0,0.0015469818384332167
88,California,El Cajon,3.0,0.0,1.0,0.0,0.0,0.0,104497.0,0.0038278610869211553
89,California,El Cerrito,1.0,1.0,0.0,0.0,0.0,0.0,25793.0,0.007754041794285271
90,California,Elk Grove,2.0,0.0,2.0,0.0,0.0,0.0,174651.0,0.0022902817619137594
91,California,El Monte,5.0,0.0,0.0,0.0,0.0,0.0,116464.0,0.0042931721390300865
92,California,El Segundo,1.0,0.0,0.0,0.0,0.0,0.0,16881.0,0.005923819678928973
93,California,Encinitas,0.0,3.0,0.0,0.0,0.0,0.0,63700.0,0.004709576138147566
94,California,Escalon,1.0,0.0,0.0,0.0,0.0,0.0,7653.0,0.013066771200836273
95,California,Escondido,2.0,0.0,0.0,0.0,0.0,0.0,153073.0,0.0013065661481776669
96,California,Eureka,0.0,0.0,1.0,0.0,0.0,0.0,27174.0,0.003679988224037683
97,California,Fairfield,1.0,0.0,1.0,0.0,0.0,0.0,117883.0,0.0016965974737663614
98,California,Fillmore,0.0,0.0,1.0,0.0,0.0,0.0,15928.0,0.0062782521346057265
99,California,Folsom,1.0,0.0,0.0,0.0,0.0,0.0,78916.0,0.0012671701556084952
100,California,Fontana,1.0,0.0,0.0,0.0,0.0,0.0,213964.0,0.0004673683423379634
101,California,Fort Bragg,0.0,1.0,0.0,0.0,0.0,0.0,7317.0,0.013666803334700012
102,California,Foster City,0.0,2.0,0.0,0.0,0.0,0.0,34993.0,0.005715428800045723
103,California,Fountain Valley,0.0,0.0,1.0,0.0,0.0,0.0,56433.0,0.0017720128293728847
104,California,Fremont,6.0,0.0,0.0,0.0,0.0,0.0,238024.0,0.0025207542096595302
105,California,Fresno,19.0,3.0,5.0,0.0,0.0,0.0,531818.0,0.0050769248126238675
106,California,Galt,1.0,0.0,0.0,0.0,0.0,0.0,26548.0,0.003766762091306313
107,California,Gardena,0.0,1.0,1.0,0.0,0.0,0.0,60423.0,0.0033099978485013983
108,California,Garden Grove,1.0,0.0,0.0,0.0,0.0,0.0,174661.0,0.0005725376586644986
109,California,Glendale,4.0,0.0,0.0,0.0,0.0,0.0,204724.0,0.001953850061546277
110,California,Glendora,1.0,0.0,0.0,0.0,0.0,0.0,52727.0,0.0018965615339389687
111,California,Gridley,1.0,0.0,0.0,0.0,0.0,0.0,6612.0,0.015124016938898973
112,California,Hawaiian Gardens,2.0,0.0,0.0,0.0,0.0,0.0,14474.0,0.01381788033715628
113,California,Hawthorne,3.0,2.0,1.0,0.0,0.0,0.0,88372.0,0.006789480831032454
114,California,Hayward,3.0,1.0,0.0,0.0,0.0,0.0,162881.0,0.002455780600561146
115,California,Hemet,1.0,0.0,0.0,0.0,0.0,0.0,86047.0,0.001162155566144084
116,California,Hesperia,1.0,0.0,0.0,0.0,0.0,0.0,95519.0,0.0010469121326647055
117,California,Huntington Beach,2.0,2.0,0.0,0.0,0.0,0.0,203428.0,0.001966297658139489
118,California,Huntington Park,3.0,0.0,1.0,0.0,0.0,0.0,58922.0,0.006788635823631241
119,California,Imperial Beach,1.0,0.0,0.0,0.0,0.0,0.0,27569.0,0.0036272625049874863
120,California,Inglewood,1.0,0.0,0.0,0.0,0.0,0.0,110726.0,0.0009031302494445748
121,California,Irvine,1.0,1.0,0.0,0.0,0.0,0.0,288052.0,0.0006943190812769916
122,California,Jurupa Valley,1.0,0.0,0.0,0.0,0.0,0.0,107605.0,0.0009293248454997445
123,California,Laguna Woods,0.0,0.0,1.0,0.0,0.0,0.0,16219.0,0.006165608237252604
124,California,Lakeport,0.0,0.0,1.0,0.0,0.0,0.0,4763.0,0.02099517111064455
125,California,La Mesa,1.0,0.0,0.0,0.0,0.0,0.0,60442.0,0.001654478673769895
126,California,Lancaster,9.0,0.0,2.0,0.0,0.0,0.0,160818.0,0.006840030344861893
127,California,Lawndale,1.0,0.0,0.0,0.0,0.0,0.0,33121.0,0.0030192325110956794
128,California,Livermore,3.0,2.0,1.0,0.0,0.0,0.0,91612.0,0.006549360345806226
129,California,Lodi,1.0,1.0,0.0,0.0,0.0,0.0,66416.0,0.0030113225728740063
130,California,Long Beach,6.0,0.0,3.0,0.0,0.0,0.0,470445.0,0.001913082294423365
131,California,Los Angeles,136.0,63.0,74.0,0.0,0.0,10.0,4029741.0,0.00702278384640601
132,California,Los Banos,0.0,0.0,1.0,0.0,0.0,0.0,39651.0,0.002522004489167991
133,California,Lynwood,1.0,0.0,0.0,0.0,0.0,0.0,71315.0,0.0014022295449765125
134,California,Malibu,1.0,0.0,0.0,0.0,0.0,0.0,12911.0,0.007745333436604446
135,California,Marysville,1.0,0.0,0.0,0.0,0.0,0.0,12459.0,0.008026326350429408
136,California,Menifee,2.0,0.0,0.0,0.0,0.0,0.0,92540.0,0.002161227577263886
137,California,Modesto,2.0,1.0,2.0,0.0,2.0,0.0,215822.0,0.0032434135537618963
138,California,Monterey,2.0,0.0,0.0,0.0,0.0,0.0,28744.0,0.006957973838018369
139,California,Moreno Valley,1.0,0.0,0.0,0.0,0.0,0.0,209145.0,0.0004781371775562409
140,California,Morro Bay,0.0,0.0,1.0,0.0,0.0,0.0,10692.0,0.009352787130564907
141,California,Mountain View,1.0,0.0,0.0,0.0,0.0,0.0,82518.0,0.001211856806999685
142,California,Newark,1.0,0.0,0.0,0.0,0.0,0.0,48276.0,0.002071422653078134
143,California,Newport Beach,1.0,0.0,2.0,0.0,0.0,1.0,86276.0,0.00463628355510223
