name,total,hispanic_latino,white,black,american_indian,asian,hawaiian,other
5,2537,50,2219,29,6,181,5,6
70,6606,304,5467,140,37,444,7,12
69,3415,119,2962,38,8,179,6,6
75,6025,396,4605,250,41,476,17,13
77,3869,195,2562,682,11,258,4,7
84,3569,218,2508,220,23,428,9,8
79,4696,349,3136,612,30,352,8,9
82,3193,209,2211,181,23,435,14,13
83,2455,143,1756,127,27,327,9,5
85,3999,352,1968,1053,87,461,6,11
81,3969,211,2780,376,71,403,8,23
65,3716,162,3186,41,13,207,4,6
66,3380,191,2632,107,17,315,9,4
63,4064,101,3690,49,8,155,2,0
62,3007,85,2561,71,10,195,1,11
76,3086,138,2357,286,6,191,3,5
74.01,4036,274,3137,87,21,324,10,9
73,4516,314,2978,448,74,501,20,10
74.02,4767,410,3324,318,51,437,20,18
118,5597,532,1309,1920,54,1524,52,8
264,4352,934,1946,644,67,521,85,19
53.02,5672,287,3051,94,24,1765,23,4
117,4194,243,586,1007,20,2162,29,4
61,4438,155,3713,66,6,356,6,11
54,4446,185,3653,78,17,356,2,9
64,2472,84,2112,95,5,120,3,2
67,6103,306,4806,166,31,552,11,12
103,4685,361,1681,1200,33,1188,27,15
104.01,3544,147,673,471,15,2094,15,7
111.01,3435,177,490,908,9,1642,73,6
102,3777,187,2125,624,4,669,18,4
110.01,3274,197,515,896,13,1521,19,0
111.02,3365,338,1424,513,11,949,22,12
265,2637,353,1072,260,35,787,33,0
110.02,3191,114,328,610,15,1990,22,3
94,4799,713,1673,481,46,1715,14,3
89,3929,250,2024,1104,18,359,22,8
95,4627,194,2624,796,32,798,8,10
100.02,3606,487,1209,252,29,1444,12,10
100.01,2917,320,852,495,11,1125,9,2
101,5071,370,2095,1278,24,1082,16,5
104.02,3758,250,942,305,17,2069,26,5
93,2110,219,1019,207,87,480,14,6
113,4734,586,2622,287,66,927,56,7
115,3445,187,2783,95,27,245,13,5
114.02,3185,619,1494,302,57,553,38,5
116,5229,188,4589,85,29,216,13,7
121,2188,89,1882,24,12,104,15,6
120,2681,170,2189,55,19,153,8,3
90,2525,228,847,489,13,830,7,4
91,2170,89,382,203,17,1416,4,3
99,4104,389,2945,227,36,348,21,6
97.02,4077,146,3579,58,23,149,5,6
107.02,2370,165,983,723,29,358,33,2
105,5490,240,4587,108,37,311,18,8
107.01,2521,296,1165,479,23,427,33,7
106,6123,287,5109,194,35,297,9,8
114.01,3159,413,1735,357,28,483,17,5
108,3535,256,1939,272,30,866,45,6
71,2955,197,2210,151,21,270,5,9
58.02,4531,343,3502,158,24,312,23,7
80.02,2961,189,2029,286,64,253,13,9
72,5181,353,3404,337,50,793,18,13
96,4481,152,3855,98,23,241,3,4
80.01,5464,326,3719,315,47,861,18,8
97.01,4553,168,3968,60,32,211,2,13
98,4944,212,4203,101,21,263,10,7
57,4792,145,4058,62,20,370,11,6
49,5686,229,4773,97,34,338,12,12
60,4505,155,3810,87,34,278,12,4
59,5983,224,5005,112,27,351,5,4
56,4936,111,4426,42,8,246,3,10
68,2268,100,1963,14,9,124,2,0
25,2281,79,1876,46,8,196,2,5
26,3768,161,3123,62,11,296,5,8
33,5291,235,4464,81,42,281,11,14
28,3765,170,3168,48,20,222,8,6
35,3358,117,2956,50,18,122,3,9
34,2702,95,2385,36,18,107,3,3
47,6249,321,5162,157,49,342,13,13
32,6593,235,5816,84,34,249,12,7
58.01,4124,221,3331,102,34,272,12,13
48,3884,142,3322,64,24,211,2,7
15,1982,56,1809,11,7,63,1,2
2,6416,378,4286,362,35,1109,29,14
17.02,3624,229,2731,138,34,358,12,12
16,3268,141,2784,55,17,199,3,6
31,4942,179,4394,35,22,189,4,7
17.01,3248,236,2311,147,32,382,17,7
29,3381,151,2958,22,11,155,5,11
30,4474,246,3863,51,19,188,8,8
18,3950,233,2784,176,28,543,6,14
9,1657,58,1362,15,5,170,3,7
21,3089,164,2429,57,18,334,2,4
19,3479,166,2562,100,21,483,11,7
24,2312,65,1926,25,7,221,4,1
20,2820,105,2277,62,13,254,4,6
27,4434,181,3720,55,14,321,4,7
22,4156,119,3423,58,9,443,5,8
7,3750,345,2317,308,31,599,16,3
1,5216,500,2996,647,48,786,28,9
8,2057,67,1603,50,17,240,10,2
6,6301,445,3971,378,51,1203,16,18
10,1477,67,1019,129,9,209,2,1
12,5564,497,3379,425,61,913,46,17
13,3788,380,2361,228,26,610,15,7
11,2082,136,1519,89,20,255,2,4
42,5942,208,4853,127,26,546,13,18
43.01,2910,115,2248,55,7,381,1,5
53.01,6996,337,4251,186,34,1823,22,17
50,3156,145,2592,74,11,219,8,4
52,5660,290,3355,137,17,1563,24,13
51,3016,125,2559,31,11,204,1,4
3,2118,140,1431,112,19,305,11,12
41,5720,134,4795,38,14,620,9,6
39,2101,73,1672,27,11,258,0,2
38,1625,42,1314,34,6,173,1,2
46,2687,91,2324,26,10,160,1,9
36,5132,207,4133,81,21,486,5,12
44,5777,287,4218,151,19,762,6,24
45,2361,95,1973,25,12,159,6,4
43.02,3434,202,2352,71,4,630,10,8
40,2114,66,1681,83,6,206,9,1
87,3278,329,1739,719,24,315,11,4
86,4710,361,2625,515,58,887,38,17
92,2709,197,1180,541,57,616,9,13
88,2780,142,1505,872,8,127,4,10
4.01,4840,307,3122,498,49,641,31,9
78,4043,130,3092,479,13,214,2,8
14,3993,228,3145,139,34,297,7,7
4.02,4167,229,3236,189,35,353,5,4
119,5530,293,1642,1417,28,1812,51,9
109,1124,119,784,66,17,100,4,4
112,2938,967,1114,235,32,567,44,1
260.01,4266,262,1702,1008,24,1071,23,18

