,Table 13,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
5,Alaska,Total,,4,2,0,1,0,0,,,,,
6,,Cities,,4,2,0,1,0,0,,,,,
7,,,Anchorage,1,0,0,0,0,0,0,0,1,0,291992
8,,,Fairbanks,2,0,0,1,0,0,1,1,1,0,31635
9,,,Juneau,0,2,0,0,0,0,0,0,2,0,31922
10,,,Kotzebue,1,0,0,0,0,0,0,1,0,0,3273
11,Arizona,Total,,95,34,37,2,2,3,,,,,
12,,Cities,,93,33,37,2,2,3,,,,,
13,,,Avondale,1,0,0,0,0,0,,1,0,0,85204
14,,,Coolidge,2,0,0,0,0,0,0,0,0,2,12815
15,,,Flagstaff,1,0,1,0,0,0,0,2,0,0,72852
16,,,Gilbert,1,0,0,0,0,0,0,0,1,0,247463
17,,,Glendale,7,0,1,0,0,0,3,1,1,3,249799
18,,,Maricopa,1,0,0,0,0,0,0,1,0,0,48660
19,,,Mesa,2,0,1,0,0,0,2,1,0,0,504873
20,,,Page,2,0,1,0,0,0,1,1,1,0,7576
21,,,Peoria,1,0,0,0,0,0,0,1,0,0,170177
22,,,Phoenix3,59,24,25,1,1,2,35,26,18,27,1653080
23,,,Prescott,1,0,0,0,0,0,1,0,0,0,43172
24,,,Scottsdale,2,2,1,0,0,0,1,1,1,2,254961
25,,,St. Johns,0,1,0,0,0,0,0,0,1,0,3510
26,,,Surprise,1,2,0,0,0,0,0,1,2,0,136611
27,,,Tempe,0,1,0,0,0,0,1,0,0,0,188543
28,,,Tucson3,7,2,6,1,1,1,5,4,8,0,537392
29,,,Yuma,5,1,1,0,0,0,1,2,2,2,96121
30,,Universities and Colleges,,1,1,0,0,0,0,,,,,
31,,,University of Arizona,1,1,0,0,0,0,1,1,0,0,47648
32,,Nonmetropolitan Counties,,1,0,0,0,0,0,,,,,
33,,,La Paz,1,0,0,0,0,0,0,0,0,1,
34,Arkansas,Total,,10,1,1,1,0,0,,,,,
35,,Cities,,8,1,1,1,0,0,,,,,
36,,,Benton,1,0,0,0,0,0,0,1,0,0,36556
37,,,Fort Smith,2,0,1,0,0,0,2,1,0,0,88290
38,,,Hot Springs,1,0,0,0,0,0,1,0,0,0,37006
39,,,Newport,1,0,0,0,0,0,0,0,0,1,7654
40,,,Rogers,2,0,0,0,0,0,0,1,1,0,68026
41,,,Sherwood,1,1,0,0,0,0,0,1,0,1,31284
42,,,Springdale,0,0,0,1,0,0,1,0,0,0,73496
43,,Metropolitan Counties,,1,0,0,0,0,0,,,,,
44,,,Pulaski,1,0,0,0,0,0,0,0,1,0,
45,,Nonmetropolitan Counties,,1,0,0,0,0,0,,,,,
46,,,Sevier,1,0,0,0,0,0,0,1,0,0,
47,California,Total,,596,199,239,7,4,20,,,,,
48,,Cities,,538,183,209,5,3,16,,,,,
49,,,Alameda,3,3,1,0,0,0,3,2,2,0,79951
50,,,Albany,2,1,1,0,0,0,2,0,0,2,20379
