Title,City,State,Group,Ideology,Headquarters,Statewide,Year,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source
"Abiding Truth Ministries",Springfield,Massachusetts,,Anti-LGBT,Yes,,2018,42.170731,-72.604842,1,place,,,Springfield,MA,"Hampden County",01101,US,"TIGER/Line® dataset from the US Census Bureau"
"Alliance Defending Freedom",Scottsdale,Arizona,"Alliance Defending Freedom",Anti-LGBT,Yes,,2018,33.534451,-111.887354,1,place,,,Scottsdale,AZ,"Maricopa County",85250,US,"TIGER/Line® dataset from the US Census Bureau"
"American College of Pediatricians",Gainesville,Florida,"American College of Pediatricians",Anti-LGBT,Yes,,2018,29.648993,-82.324515,1,place,,,Gainesville,FL,"Alachua County",32601,US,"TIGER/Line® dataset from the US Census Bureau"
"American Family Association",Tupelo,Mississippi,"American Family Association",Anti-LGBT,Yes,,2018,34.221257,-88.775002,1,place,,,Tupelo,MS,"Lee County",38801,US,"TIGER/Line® dataset from the US Census Bureau"
"American Family Association",Franklin,Pennsylvania,"American Family Association",Anti-LGBT,,,2018,41.335291,-79.783172,1,place,,,Franklin,PA,"Venango County",16323,US,"TIGER/Line® dataset from the US Census Bureau"
"American Vision","Powder Springs",Georgia,,Anti-LGBT,Yes,,2018,33.91351,-84.685885,1,place,,,"Powder Springs",GA,"Cobb County",30127,US,"TIGER/Line® dataset from the US Census Bureau"
"Americans for Truth About Homosexuality",Naperville,Illinois,,Anti-LGBT,Yes,,2018,41.759029,-88.152381,1,place,,,Naperville,IL,"DuPage County",60540,US,"TIGER/Line® dataset from the US Census Bureau"
"ATLAH World Missionary Church (All The Land Anointed Holy)","New York","New York",,Anti-LGBT,Yes,,2018,40.68863,-74.018244,1,place,,,"New York",NY,"New York County",10004,US,"TIGER/Line® dataset from the US Census Bureau"
"Bible Believers Fellowship",Worthington,Ohio,,Anti-LGBT,Yes,,2018,40.093119,-83.017962,0.9,place,,,Worthington,OH,"Franklin County",43085,US,"TIGER/Line® dataset from the US Census Bureau"
"Campus Ministry USA, The","Terre Haute",Indiana,,Anti-LGBT,Yes,,2018,39.433602,-87.410094,1,place,,,"Terre Haute",IN,"Vigo County",47801,US,"TIGER/Line® dataset from the US Census Bureau"
